000001 Katarina Silva          Votorantim     37547111 25477001 f 34#
000002 Barbara Souza           Ubatuba        37560329 25484239 f 42#
000003 Breno Santos            Sorocaba       37573547 25491477 m 11#
000004 Carla Oliveira          Osasco         37586765 25498715 f 12#
000005 Cesio Camargo           Lorena         37599983 25505953 m 19#
000006 Carina Correa           Itu            37613201 25513191 f 40#
000007 Diego Teixeira          Ipua           37626419 25520429 m 14#
000008 Kelvin Peixoto          Ilhabela       37639637 25527667 m 13#
000009 Karen Coelho            Franca         37652855 25534905 f 15#
000010 Lauro Machado           Limeira        37666073 25542143 m 18#
000011 Leticia Lima            Campinas       37679291 25549381 f 31#
000012 Leticia Lima            Campinas       37679291 25549381 f 31#
000013 Luis Abreu              Poa            37692509 25556619 m 37#
000014 Lauro Machado           Limeira        37666073 25542143 m 18#
000015 Leticia Lima            Campinas       37679291 25549381 f 31#
000016 Luis Abreu              Poa            37692509 25556619 m 37#
000017 Luis Abreu              Poa            37692509 25556619 m 37#
000018 Luis Abreu              Poa            37692509 25556619 m 37#
000019 Luis Abreu              Poa            37692509 25556619 m 37#
000020 Luis Abreu              Poa            37692509 25556619 m 37#
000021 Luis Abreu              Poa            37692509 25556619 m 37#
000022 Luis Abreu              Poa            37692509 25556619 m 37#
